City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
russell,32.3502,-85.1999,66.2,20,1,3.18,US,1619133367
kavieng,-2.5744,150.7967,82.27,74,92,7.31,PG,1619133367
port hawkesbury,45.6169,-61.3485,37.99,75,90,11.5,CA,1619133368
saint-philippe,-21.3585,55.7679,77.0,73,100,13.8,RE,1619133368
chuy,-33.6971,-53.4616,65.5,80,8,12.03,UY,1619133237
medowie,-32.7333,151.8667,61.0,44,0,20.71,AU,1619133368
hobyo,5.3505,48.5268,83.53,71,77,11.59,SO,1619133368
mehamn,71.0357,27.8492,32.16,75,99,3.44,NO,1619133369
barrow,71.2906,-156.7887,21.2,86,1,8.05,US,1619133166
ajuchitlan,20.7167,-100.0167,84.2,15,40,10.36,MX,1619133369
moron,-34.6534,-58.6198,71.01,82,95,6.06,AR,1619133369
lorengau,-2.0226,147.2712,82.53,77,100,2.42,PG,1619133370
thompson,55.7435,-97.8558,21.2,68,75,19.57,CA,1619133185
kavaratti,10.5669,72.642,83.28,69,73,7.56,IN,1619133266
muriwai beach,-36.8167,174.45,69.01,73,97,5.99,NZ,1619133154
lethem,3.3803,-59.7968,83.34,61,53,12.53,GY,1619133370
natal,-5.795,-35.2094,80.6,83,20,6.91,BR,1619133370
geraldton,-28.7667,114.6,62.6,77,100,8.05,AU,1619133370
bethel,41.3712,-73.414,42.01,50,86,5.01,US,1619133371
kulaman,6.4594,124.0892,81.03,77,26,3.31,PH,1619133371
atuona,-9.8,-139.0333,80.82,76,49,19.53,PF,1619133355
college,64.8569,-147.8028,53.6,28,1,11.5,US,1619133371
bluff,-46.6,168.3333,55.0,85,100,4.0,NZ,1619133372
cenotillo,20.9667,-88.6167,87.51,52,68,10.6,MX,1619133372
tomatlan,19.9333,-105.25,89.73,29,93,10.98,MX,1619133372
kulhudhuffushi,6.6221,73.07,83.16,73,37,8.21,MV,1619133372
ancud,-41.8697,-73.8203,51.01,100,40,4.61,CL,1619133245
khadyzhensk,44.4256,39.5319,44.76,94,3,3.06,RU,1619133373
tiksi,71.6872,128.8694,13.23,86,100,4.43,RU,1619133373
kunming,25.0389,102.7183,60.8,51,0,17.9,CN,1619133373
shu,43.5983,73.7614,39.0,52,0,4.0,KZ,1619133373
cherskiy,68.75,161.3,18.34,90,100,10.36,RU,1619133374
irtyshskiy,58.3333,68.1333,37.78,58,100,12.86,RU,1619133374
clyde river,70.4692,-68.5914,17.6,73,90,11.5,CA,1619133298
saquena,-4.6667,-73.5167,76.78,85,41,1.79,PE,1619133374
vila franca do campo,37.7167,-25.4333,59.0,77,40,31.07,PT,1619133291
charters towers,-20.1,146.2667,65.75,94,100,8.23,AU,1619133374
morondava,-20.2833,44.2833,76.37,71,0,3.56,MG,1619133375
kungurtug,50.5994,97.5228,26.73,86,100,2.53,RU,1619133375
horta,38.5333,-28.6333,55.96,77,55,36.91,PT,1619133375
castro,-24.7911,-50.0119,58.05,84,98,3.58,BR,1619133359
flin flon,54.7682,-101.865,26.6,54,75,17.27,CA,1619133375
tabou,4.423,-7.3528,80.33,86,69,7.36,CI,1619133376
mpulungu,-8.7623,31.1141,71.01,81,11,7.27,ZM,1619133376
shelburne,44.0787,-80.2041,39.99,57,86,14.56,CA,1619133376
safranbolu,41.2508,32.6942,44.98,80,6,2.35,TR,1619133376
constitucion,-35.3333,-72.4167,55.04,85,90,11.92,CL,1619133407
kapaa,22.0752,-159.319,80.6,69,1,9.22,US,1619133201
maniitsoq,65.4167,-52.9,31.51,69,7,5.64,GL,1619133407
laguna,38.421,-121.4238,73.99,43,1,14.97,US,1619133397
poshekhonye,58.4993,39.1353,41.0,93,25,6.93,RU,1619133407
serebryansk,49.6925,83.2892,23.0,80,100,4.47,KZ,1619133408
naryan-mar,67.6713,53.087,35.74,92,100,14.05,RU,1619133358
sitka,57.0531,-135.33,51.8,50,40,9.22,US,1619133408
normandin,48.8333,-72.5321,33.8,51,100,20.71,CA,1619133408
mossingen,48.4057,9.0542,39.2,60,0,1.14,DE,1619133408
houma,29.5958,-90.7195,68.0,55,1,11.5,US,1619133409
lata,40.1629,-8.3327,57.99,87,54,4.5,PT,1619133409
asau,46.4333,26.4,44.01,57,100,4.47,RO,1619133409
inirida,3.8653,-67.9239,80.22,79,36,0.67,CO,1619133409
samarai,-10.6167,150.6667,82.83,77,76,3.71,PG,1619133410
nemuro,43.3236,145.575,36.03,86,93,14.88,JP,1619133410
mahuva,21.0914,71.7622,80.69,50,83,9.42,IN,1619133410
valparaiso,-33.0393,-71.6273,57.99,94,90,5.75,CL,1619133410
dzilam gonzalez,21.2833,-88.9333,84.9,62,55,11.01,MX,1619133411
kingston,17.997,-76.7936,84.2,65,20,11.5,JM,1619133154
mirnyy,62.5353,113.9611,25.48,87,100,14.76,RU,1619133411
seoul,37.5683,126.9778,66.2,45,0,8.05,KR,1619133372
rovaniemi,66.5,25.7167,33.8,86,90,13.8,FI,1619133411
nikolskoye,59.7035,30.7861,45.0,87,90,5.93,RU,1619133218
ribeira grande,38.5167,-28.7,57.13,76,50,37.49,PT,1619133199
half moon bay,37.4636,-122.4286,62.01,87,75,6.91,US,1619133412
wanning,18.8003,110.3967,76.73,87,33,5.14,CN,1619133412
abha,18.2164,42.5053,64.4,44,0,2.95,SA,1619133247
kieta,-6.2167,155.6333,77.63,91,99,4.09,PG,1619133412
ovruch,51.3246,28.8035,43.0,87,96,5.91,UA,1619133413
olinda,-8.0089,-34.8553,80.6,69,20,6.91,BR,1619133131
ukiah,39.1502,-123.2078,78.8,29,1,8.05,US,1619133302
bengkulu,-3.8004,102.2655,73.44,87,86,3.83,ID,1619133413
mayo,38.8876,-76.5119,51.01,32,75,10.36,US,1619133413
banda aceh,5.5577,95.3222,80.02,80,94,10.2,ID,1619133413
pisco,-13.7,-76.2167,69.01,77,0,20.71,PE,1619133414
deputatskiy,69.3,139.9,4.82,94,94,2.15,RU,1619133414
qui nhon,13.7667,109.2333,77.47,89,85,3.22,VN,1619133414
salalah,17.0151,54.0924,80.6,69,0,3.44,OM,1619133414
santa isabel do rio negro,-0.4139,-65.0192,75.69,95,86,2.26,BR,1619133415
linhai,28.85,121.1167,72.0,85,68,3.4,CN,1619133415
prince george,53.9166,-122.753,46.99,21,1,6.91,CA,1619133415
port blair,11.6667,92.75,79.7,76,69,5.46,IN,1619133415
ussel,45.55,2.3167,55.0,18,6,1.01,FR,1619133416
talnakh,69.4865,88.3972,30.9,96,100,13.13,RU,1619133416
palmer,42.1584,-72.3287,41.0,33,75,20.71,US,1619133416
lobatse,-25.2167,25.6667,51.8,76,2,1.14,BW,1619133416
prince rupert,54.3161,-130.3201,55.4,38,20,9.22,CA,1619133447
provideniya,64.3833,-173.3,39.2,52,0,13.42,RU,1619133213
airai,-8.9266,125.4092,62.85,78,29,1.9,TL,1619133223
eskil,38.4017,33.4131,50.76,38,0,3.27,TR,1619133447
cabo san lucas,22.8909,-109.9124,82.99,18,20,16.11,MX,1619133423
bathurst,-33.4166,149.5806,48.0,62,4,1.01,AU,1619133447
westport,41.1415,-73.3579,44.01,51,83,1.01,US,1619133441
saint-leu,-21.15,55.2833,77.0,73,100,13.8,RE,1619133448
tuktoyaktuk,69.4541,-133.0374,12.2,73,20,9.22,CA,1619133448
necochea,-38.5473,-58.7368,61.0,92,100,7.4,AR,1619133448
sofiyivka,48.0493,33.8746,44.6,87,13,8.95,UA,1619133448
salto de agua,17.6167,-92.3667,93.2,49,75,11.5,MX,1619133449
kaabong,3.4836,34.1492,63.93,89,100,9.62,UG,1619133449
manta,-0.95,-80.7333,80.6,78,20,10.36,EC,1619133449
nelson bay,-32.7167,152.15,60.01,44,0,20.71,AU,1619133449
coos bay,43.3665,-124.2179,64.0,71,40,10.36,US,1619133225
gondanglegi,-7.7479,112.0132,71.71,86,41,6.96,ID,1619133450
northam,51.0333,-4.2167,45.0,72,0,3.0,GB,1619133450
novokizhinginsk,51.6115,109.5917,28.71,88,100,3.8,RU,1619133450
san patricio,28.017,-97.5169,73.99,78,90,19.57,US,1619133194
bilma,18.6853,12.9164,87.73,12,0,6.35,NE,1619133363
palana,59.1167,159.9667,30.49,99,98,3.2,RU,1619133450
east london,-33.0153,27.9116,67.62,80,98,11.3,ZA,1619133451
chingirlau,51.095,54.0814,44.83,72,100,10.76,KZ,1619133451
komsomolets,53.7453,62.0708,46.87,55,100,9.26,KZ,1619133451
pemberton,50.3164,-122.8027,60.8,17,1,2.3,CA,1619133307
nanortalik,60.1432,-45.2371,35.76,81,57,3.78,GL,1619133452
svetlaya,46.5389,138.3297,48.94,60,44,7.99,RU,1619133452
fayaoue,-20.65,166.5333,78.55,81,14,13.11,NC,1619133452
sukhobuzimskoye,56.5,93.2728,17.6,79,0,5.1,RU,1619133299
grand-lahou,5.1367,-5.0242,81.72,86,71,11.01,CI,1619133452
terrace,54.5163,-128.6035,59.0,23,20,2.3,CA,1619133453
santiago del estero,-27.7951,-64.2615,67.05,93,100,4.63,AR,1619133339
straumen,63.8709,11.2999,39.0,87,75,19.57,NO,1619133453
antofagasta,-23.65,-70.4,62.6,82,40,9.22,CL,1619133278
chunhuhub,19.55,-88.6833,89.53,35,11,6.98,MX,1619133453
korla,41.7597,86.1469,43.16,46,100,18.39,CN,1619133453
avera,33.194,-82.5271,62.6,22,1,8.05,US,1619133454
la libertad,-2.2333,-80.9,78.8,78,0,11.5,EC,1619133454
terney,45.0503,136.6092,52.23,49,100,4.43,RU,1619133454
fuzhou,26.0614,119.3061,69.8,94,40,0.78,CN,1619133454
bulungu,-4.55,18.6,75.83,77,92,2.17,CD,1619133455
ullapool,57.8987,-5.1604,45.0,68,94,1.01,GB,1619133437
lagoa,39.05,-27.9833,56.21,78,39,41.63,PT,1619133367
la ronge,55.1001,-105.2842,28.4,40,99,13.8,CA,1619133455
waitati,-45.75,170.5667,63.0,60,100,4.0,NZ,1619133455
cervo,43.6702,-7.4101,54.0,87,98,5.41,ES,1619133456
karema,-6.8205,30.4389,69.85,83,0,6.08,TZ,1619133456
edd,13.9297,41.6925,87.37,46,0,17.65,ER,1619133486
thabazimbi,-24.5917,27.4116,60.51,47,19,1.79,ZA,1619133486
bakal,54.9417,58.8083,37.2,87,100,1.52,RU,1619133487
teutonia,-29.4481,-51.8064,66.0,85,11,5.26,BR,1619133487
mount isa,-20.7333,139.5,73.4,25,29,16.11,AU,1619133487
kiruna,67.8557,20.2251,23.0,86,26,4.61,SE,1619133488
carnarvon,-24.8667,113.6333,64.4,63,33,5.75,AU,1619133488
huntsville,34.7304,-86.5861,63.0,31,1,5.75,US,1619133253
mednogorsk,51.4128,57.595,41.16,81,100,11.12,RU,1619133488
bowen,-20.0167,148.2333,73.4,78,90,8.05,AU,1619133489
zheleznodorozhnyy,55.7503,38.0042,48.0,93,0,6.71,RU,1619133489
yar-sale,66.8333,70.8333,33.04,87,69,14.92,RU,1619133489
arraial do cabo,-22.9661,-42.0278,71.6,88,20,14.97,BR,1619133489
uyuni,-20.4597,-66.825,49.91,15,0,7.92,BO,1619133490
banjarmasin,-3.3244,114.591,75.2,88,12,3.18,ID,1619133490
praia da vitoria,38.7333,-27.0667,57.2,77,75,30.13,PT,1619133490
flinders,-34.5833,150.8552,63.0,55,0,5.99,AU,1619133491
lyuban,52.7985,28.0048,41.14,77,100,7.18,BY,1619133492
cururupu,-1.8283,-44.8683,74.89,93,100,2.15,BR,1619133492
kampot,10.6167,104.1833,80.6,100,40,2.3,KH,1619133492
dunedin,-45.8742,170.5036,63.0,62,99,3.0,NZ,1619133492
iwanai,42.9744,140.5089,51.42,51,0,2.98,JP,1619133493
manjacaze,-24.7117,33.8828,63.95,87,86,4.72,MZ,1619133493
carutapera,-1.195,-46.02,75.83,91,100,3.91,BR,1619133493
longyearbyen,78.2186,15.6401,15.8,73,75,4.61,SJ,1619133493
torbay,47.6666,-52.7314,46.0,93,90,24.16,CA,1619133311
pacific grove,36.6177,-121.9166,55.99,71,90,10.36,US,1619133494
bambous virieux,-20.3428,57.7575,77.0,94,40,4.61,MU,1619133494
sao felix do xingu,-6.6447,-51.995,72.77,96,81,0.31,BR,1619133494
arlit,18.7369,7.3853,87.1,6,47,9.17,NE,1619133495
sao filipe,14.8961,-24.4956,73.02,73,59,12.39,CV,1619133214
pozega,45.3403,17.6853,52.0,76,0,1.14,HR,1619133495
busselton,-33.65,115.3333,57.0,84,82,1.99,AU,1619133245
princeville,45.7668,-61.2985,39.0,75,90,11.5,CA,1619133495
sapa,5.1544,120.3241,79.43,82,23,0.72,PH,1619133496
dukat,62.55,155.55,20.21,92,100,5.3,RU,1619133496
dicabisagan,17.0818,122.4157,77.2,78,95,3.09,PH,1619133496
bismil,37.8486,40.6658,55.4,87,0,6.91,TR,1619133376
sabang,5.8933,95.3214,83.05,72,95,14.74,ID,1619133496
coihueco,-36.6167,-71.8333,55.4,100,98,3.44,CL,1619133497
zeya,53.75,127.2667,32.85,40,53,10.29,RU,1619133497
avarua,-21.2078,-159.775,82.4,78,40,24.16,CK,1619133207
santa cruz del norte,23.1539,-81.9236,82.4,74,40,10.36,CU,1619133497
jumla,29.2747,82.1838,34.9,78,5,6.08,NP,1619133497
labuan,5.2767,115.2417,80.6,89,20,2.3,MY,1619133498
basoko,1.2391,23.616,75.42,80,92,3.94,CD,1619133498
shenjiamen,29.9576,122.298,60.67,99,91,7.83,CN,1619133528
farafenni,13.5667,-15.6,84.49,32,16,10.94,GM,1619133529
port elizabeth,-33.918,25.5701,64.4,94,0,13.8,ZA,1619133404
hobart,-42.8794,147.3294,55.4,47,75,9.22,AU,1619133529
hilo,19.7297,-155.09,84.2,48,75,8.05,US,1619133529
nioro,13.35,-15.75,81.63,40,26,9.48,GM,1619133530
mishan,45.55,131.8833,56.52,54,100,4.45,CN,1619133530
pokhara,28.2333,83.9833,62.85,29,1,7.9,NP,1619133530
buala,-8.145,159.5921,83.89,73,91,6.89,SB,1619133249
sao paulo de olivenca,-3.3783,-68.8725,75.49,94,84,0.58,BR,1619133530
menongue,-14.6585,17.691,66.33,60,85,3.65,AO,1619133531
ebeltoft,56.1944,10.6821,41.0,81,9,9.22,DK,1619133531
lebu,-37.6167,-73.65,52.32,76,89,2.3,CL,1619133531
torbat-e jam,35.244,60.6225,57.76,20,30,4.12,IR,1619133531
aasiaat,68.7098,-52.8699,21.06,83,95,7.83,GL,1619133532
sola,-13.8833,167.55,82.81,76,86,15.57,VU,1619133532
zhanaozen,43.3,52.8,64.27,14,96,21.09,KZ,1619133532
yingcheng,30.95,113.55,60.8,100,90,2.24,CN,1619133532
new norfolk,-42.7826,147.0587,52.0,64,60,4.0,AU,1619133533
castel maggiore,44.5771,11.3607,50.0,87,0,3.44,IT,1619133533
bahar,34.9072,48.4414,59.36,49,99,1.01,IR,1619133533
luanda,-8.8368,13.2343,76.08,85,93,6.87,AO,1619133430
hornepayne,49.2138,-84.7705,41.77,65,93,11.34,CA,1619133533
marawi,7.9986,124.2928,80.01,81,78,3.0,PH,1619133534
puerto ayora,-0.7393,-90.3518,82.4,74,20,19.57,EC,1619133534
kenai,60.5544,-151.2583,53.6,43,1,11.5,US,1619133534
mecca,21.4267,39.8261,84.42,37,74,4.25,SA,1619133249
saskylakh,71.9167,114.0833,5.58,96,100,5.73,RU,1619133534
san vicente,-26.6167,-54.1333,63.54,61,97,2.21,AR,1619133535
bay saint louis,30.3088,-89.33,64.4,45,1,10.36,US,1619133328
itoman,26.1247,127.6694,71.6,94,75,18.41,JP,1619133535
mandalgovi,45.7625,106.2708,39.94,53,98,19.71,MN,1619133535
karatsu,33.4425,129.9697,70.0,52,75,4.61,JP,1619133536
san cristobal,7.7669,-72.225,84.2,61,20,6.91,VE,1619133363
fare,-16.7,-151.0167,81.03,73,4,13.69,PF,1619133536
kloulklubed,7.0419,134.2556,82.4,78,75,5.75,PW,1619133536
shasta lake,40.6804,-122.3708,81.0,34,4,1.01,US,1619133536
qaanaaq,77.484,-69.3632,13.57,81,79,8.14,GL,1619133537
coahuayana,18.7333,-103.6833,84.2,23,40,11.5,MX,1619133427
royan,45.6285,-1.0281,57.99,62,0,5.75,FR,1619133537
jieshi,22.8134,115.8257,74.44,80,10,4.16,CN,1619133537
niquelandia,-14.4739,-48.4597,69.31,62,1,2.89,BR,1619133537
puerto del rosario,28.5004,-13.8627,68.0,68,0,9.22,ES,1619133538
jamestown,42.097,-79.2353,35.01,86,90,13.8,US,1619133506
matamoros,25.5333,-103.25,95.0,6,75,12.01,MX,1619133538
mbigou,-1.9005,11.906,68.09,99,100,4.27,GA,1619133538
aksarka,66.5606,67.7975,34.99,90,100,12.75,RU,1619133568
torrijos,39.9819,-4.2835,60.01,66,76,8.14,ES,1619133390
merano,46.6682,11.1595,44.01,70,0,4.61,IT,1619133569
saint-francois,46.4154,3.9054,48.2,71,0,6.91,FR,1619133544
cape town,-33.9258,18.4232,59.0,94,75,12.66,ZA,1619133569
quesnel,52.9999,-122.5029,50.0,23,1,11.5,CA,1619133562
aktash,50.3,87.7333,3.9,94,99,1.36,RU,1619133569
shinpokh,34.3292,71.1782,62.6,59,20,6.91,PK,1619133570
port lincoln,-34.7333,135.8667,61.18,66,90,8.3,AU,1619133570
macomer,40.262,8.7699,53.6,87,20,6.91,IT,1619133570
barra patuca,15.8,-84.2833,81.07,71,6,10.74,HN,1619133570
dikson,73.5069,80.5464,27.46,93,100,23.42,RU,1619133357
ugoofaaru,5.6667,73.0,82.27,75,24,9.62,MV,1619133571
coihaique,-45.5752,-72.0662,46.4,87,75,3.02,CL,1619133527
yeppoon,-23.1333,150.7333,69.8,73,90,6.91,AU,1619133571
fortuna,40.5982,-124.1573,60.01,76,1,16.11,US,1619133389
